Taxa	LW	CW	DP
D00571640	830	481	0.58 
D00587659	840	482	0.57 
D00606753	820	467	0.57 
D00564998	800	477	0.60 
D00608064	810	483	0.60 
D00552428	920	517	0.56 
D00542670	740	440	0.59 
D00643429	720	458	0.64 
D00622837	690	376	0.54 
D00535093	890	487	0.55 
D00587971	610	355	0.58 
D00548595	790	485	0.61 
D00612568	800	490	0.61 
D00542973	770	483	0.63 
D00564892	790	452	0.57 
D00565087	670	447	0.67 
D00568850	780	473	0.61 
D00546398	760	435	0.57 
D00627500	770	397	0.52 
D00548479	620	329	0.53 
D00564897	710	421	0.59 
D00573217	650	414	0.64 
D00571769	630	373	0.59 
D00564853	570	342	0.60 
D00605215	600	372	0.62 
D00588798	660	346	0.52 
D00572377	690	382	0.55 
D00606180	740	385	0.52 
D00571677	740	400	0.54 
D00587430	730	409	0.56 
D00548634	780	419	0.54 
D00565479	730	398	0.55 
D00643380	700	371	0.53 
D00623314	680	359	0.53 
D00623833	640	346	0.54 
D00548184	780	408	0.52 
D00564840	700	353	0.50 
D00573906	660	355	0.54 
D00606400	630	364	0.58 
D00549729	760	425	0.56 
D00565789	730	407	0.56 
D00605520	690	350	0.51 
D00612187	660	368	0.56 
D00548850	700	371	0.53 
D00606470	900	506.5	0.56 
D00572971	830	434	0.52 
D00522982	830	482.5	0.58 
D00623103	900	477	0.53 
D00612010	750	397	0.53 
D00534098	820	443	0.54 
D00605509	820	452.5	0.55 
D00591889	790	451	0.57 
D00526353	910	492	0.54 
D00526436	840	435	0.52 
D00614345	900	493	0.55 
D00612318	800	496.5	0.62 
D00549924	960	568	0.59 
D00612506	810	444.5	0.55 
